plv_low_12,plv_mid_23,plv_high_13,pac_low_high_13,pac_low_mid_12,g12,g13,g23,lam,objective
1.0,1.0,1.0,0.2417073352788938,0.3072715660796617,0.04,0.01,0.01,0.0,3.5489789013585558
1.0,1.0,1.0,0.2417073352788938,0.3072715660796617,0.04,0.01,0.01,0.0,3.5489789013585558
1.0,1.0,1.0,0.2417073352788938,0.3072715660796617,0.04,0.01,0.01,0.0,3.5489789013585558
1.0,1.0,1.0,0.2417073352788938,0.3072715660796617,0.04,0.01,0.01,0.0,3.5489789013585558
1.0,1.0,1.0,0.2417073259953792,0.30727152506100813,0.04,0.01,0.02,0.0,3.548978851056387
1.0,1.0,1.0,0.2417073259953792,0.30727152506100813,0.04,0.01,0.02,0.0,3.548978851056387
1.0,1.0,1.0,0.24170732599435735,0.30727152454000706,0.04,0.01,0.02,0.01,3.5489788505343647
1.0,1.0,1.0,0.2417073167111508,0.3072714863012131,0.04,0.01,0.03,0.01,3.548978803012364
1.0,1.0,1.0,0.24170731671242293,0.307271485319811,0.04,0.01,0.03,0.0,3.548978802032234
1.0,1.0,1.0,0.24170731671242293,0.307271485319811,0.04,0.01,0.03,0.0,3.548978802032234
1.0,1.0,1.0,0.24170719759398498,0.30727156519953325,0.04,0.02,0.01,0.0,3.548978762793518
1.0,1.0,1.0,0.24170719759398498,0.30727156519953325,0.04,0.02,0.01,0.0,3.548978762793518
1.0,1.0,1.0,0.2417071975927358,0.3072715651167061,0.04,0.02,0.01,0.01,3.548978762709442
1.0,1.0,1.0,0.24170718830835727,0.307271526584432,0.04,0.02,0.02,0.01,3.5489787148927894
1.0,1.0,1.0,0.24170718830951446,0.30727152474082037,0.04,0.02,0.02,0.0,3.5489787130503347
1.0,1.0,1.0,0.24170718830951446,0.30727152474082037,0.04,0.02,0.02,0.0,3.5489787130503347
1.0,1.0,1.0,0.2417071790255439,0.307271485403993,0.04,0.02,0.03,0.0,3.548978664429537
1.0,1.0,1.0,0.2417071790255439,0.307271485403993,0.04,0.02,0.03,0.0,3.548978664429537
1.0,1.0,1.0,0.24170717902423014,0.30727148527513515,0.04,0.02,0.03,0.01,3.5489786642993653
1.0,1.0,1.0,0.24170705989512456,0.30727156604417183,0.04,0.03,0.01,0.0,3.5489786259392964
1.0,1.0,1.0,0.24170705989512456,0.30727156604417183,0.04,0.03,0.01,0.0,3.5489786259392964
1.0,1.0,1.0,0.24170705989391478,0.3072715655311027,0.04,0.03,0.01,0.01,3.5489786254250175
1.0,1.0,1.0,0.2417070506096805,0.3072715268076116,0.04,0.03,0.02,0.0,3.548978577417292
1.0,1.0,1.0,0.2417070506096805,0.3072715268076116,0.04,0.03,0.02,0.0,3.548978577417292
1.0,1.0,1.0,0.24170705060862444,0.3072715263466968,0.04,0.03,0.02,0.01,3.5489785769553213
1.0,1.0,1.0,0.24170704132370693,0.3072714876918464,0.04,0.03,0.03,0.01,3.548978529015553
1.0,1.0,1.0,0.24170704132486417,0.30727148628943446,0.04,0.03,0.03,0.0,3.548978527614299
1.0,1.0,1.0,0.24170704132486417,0.30727148628943446,0.04,0.03,0.03,0.0,3.548978527614299
1.0,1.0,1.0,0.24170762916553948,0.30727025013889914,0.05,-0.01,-0.01,0.0,3.548977879304439
1.0,1.0,1.0,0.24170762916553948,0.30727025013889914,0.05,-0.01,-0.01,0.0,3.548977879304439
1.0,1.0,1.0,0.24170762916447494,0.3072702498878561,0.05,-0.01,-0.01,0.01,3.548977879052331
1.0,1.0,1.0,0.2417076198873954,0.3072702110951932,0.05,-0.01,0.0,0.01,3.5489778309825883
1.0,1.0,1.0,0.24170761988854467,0.30727020896850593,0.05,-0.01,0.0,0.0,3.5489778288570504
1.0,1.0,1.0,0.24170761988854467,0.30727020896850593,0.05,-0.01,0.0,0.0,3.5489778288570504
1.0,1.0,1.0,0.24170761061091428,0.3072701697815958,0.05,-0.01,0.01,0.01,3.54897778039251
1.0,1.0,1.0,0.2417076106119585,0.30727016950378333,0.05,-0.01,0.01,0.0,3.5489777801157416
1.0,1.0,1.0,0.2417076106119585,0.30727016950378333,0.05,-0.01,0.01,0.0,3.5489777801157416
1.0,1.0,1.0,0.24170749150987594,0.3072702510762354,0.05,0.0,-0.01,0.01,3.5489777425861115
1.0,1.0,1.0,0.24170749151103363,0.30727025071830844,0.05,0.0,-0.01,0.0,3.548977742229342
