rms1,rms2,rms3,corr12,corr13,corr23,plv_low_12,plv_mid_23,plv_high_13,pac_low_high_13,pac_low_mid_12,g12,g13,g23,lam,objective
0.0012517761723157,9.099404870447473e-06,1.3894630358315465e-06,-0.8128850393781795,-0.991663998510928,0.834200065052751,1.0,1.0,1.0,0.0271495041412044,0.0442767425589877,0.02,0.0,0.05,0.0,3.071426246700192
0.0012517886057176,9.377030240077488e-06,2.046827242737933e-06,-0.7552686126580204,-0.9944850342339644,0.8156909804338227,1.0,1.0,1.0,0.0267663026147037,0.0446573281358942,0.0,0.05,0.0,0.03,3.0714236307505978
0.0012517886628024,9.371976387451424e-06,2.0586410312370684e-06,-0.7560596981237999,-0.994729080281574,0.8148120431239898,1.0,1.0,1.0,0.0267488410930792,0.0446716068573664,0.0,0.05,0.05,0.03,3.0714204479504454
0.0012517449346615,8.75129071072459e-06,1.3933141213234632e-06,-0.8628230602306523,-0.9914958072524852,0.8798921461420671,1.0,1.0,1.0,0.0267621697235394,0.0446543739196666,0.05,0.0,0.0,0.01,3.071416543643206
0.0012517936778508,9.371773040089526e-06,1.578417155398997e-06,-0.7561138666441011,-0.9944708478065966,0.8014927952355146,1.0,1.0,1.0,0.0267503436045675,0.0446428518213314,0.0,0.02,0.05,0.03,3.071393195425899
0.0012517412252419,8.751293095907312e-06,1.5742331334748146e-06,-0.8628230030149606,-0.9942474541329024,0.8955828133585664,1.0,1.0,1.0,0.0267698169073826,0.044610497660266,0.05,0.02,0.0,0.0,3.071380314567649
0.0012517674329566,9.102629172458352e-06,2.051392434355694e-06,-0.8124876080081718,-0.994584591154662,0.8644193218975348,1.0,1.0,1.0,0.0267641397805942,0.0445846515540239,0.02,0.05,0.02,0.01,3.0713487913346182
0.0012517362040285,8.749457269199717e-06,2.051207293658941e-06,-0.8629772962520637,-0.9945855331944788,0.9064994478883472,1.0,1.0,1.0,0.0271712128141221,0.0441063490798826,0.05,0.05,0.02,0.01,3.0712775618940045
0.001251767470356,9.099703483660031e-06,2.058356512331909e-06,-0.8128313321047296,-0.994730469099626,0.8638780224621486,1.0,1.0,1.0,0.0271702051766364,0.0440963578144779,0.02,0.05,0.05,0.03,3.0712665629911142
0.001251772468635,9.102556403931167e-06,1.5757785627430183e-06,-0.812500419321818,-0.9943386161094172,0.8521212727834154,1.0,1.0,1.0,0.0267511923203851,0.044502370738107,0.02,0.02,0.02,0.01,3.0712535630584923
